Date	Price	Open	High	Low	Vol.	Change %
1-Nov-17	288.6	303.69	305.11	287.04	538.44K	-4.97%
31-Oct-17	303.69	307	312	303.1	285.81K	-1.08%
30-Oct-17	307	304.39	314.4	303.93	301.72K	0.86%
29-Oct-17	304.39	293.49	312.49	290.5	583.18K	3.71%
28-Oct-17	293.49	295.99	297.01	288.6	245.78K	-0.84%
27-Oct-17	295.99	295.1	299.5	291.6	239.63K	0.30%
26-Oct-17	295.1	295.46	299	290.55	207.77K	-0.12%
25-Oct-17	295.46	296.3	300	288.5	329.33K	-0.28%
24-Oct-17	296.3	284.85	311.85	280.02	758.33K	4.02%
23-Oct-17	284.85	293.55	293.96	273.5	597.47K	-2.96%
22-Oct-17	293.55	299.23	305.62	289.4	334.09K	-1.90%
21-Oct-17	299.23	302.61	303	289.31	368.61K	-1.12%
20-Oct-17	302.61	306.97	313.01	301.04	415.81K	-1.42%
19-Oct-17	306.97	313.45	316.5	304	413.13K	-2.07%
18-Oct-17	313.45	315.65	316.21	287.46	885.21K	-0.70%
17-Oct-17	315.65	334.46	334.8	308	671.49K	-5.62%
16-Oct-17	334.46	337.23	355	330.85	945.25K	-0.82%
15-Oct-17	337.23	339.24	344.89	315	875.27K	-0.59%
14-Oct-17	339.24	337.46	348	334.05	528.58K	0.53%
13-Oct-17	337.46	303.06	350	298	1.34M	11.35%
12-Oct-17	303.06	303.2	310.01	302.1	649.86K	-0.05%
11-Oct-17	303.2	299.32	306.55	296.6	407.08K	1.30%
10-Oct-17	299.32	297.4	307	292.57	366.24K	0.65%
9-Oct-17	297.4	309.82	311.16	287.03	630.80K	-4.01%
8-Oct-17	309.82	311.46	314.39	307.55	363.24K	-0.53%
7-Oct-17	311.46	308.43	315	304.5	409.62K	0.98%
6-Oct-17	308.43	295.12	309.59	293.04	373.26K	4.51%
5-Oct-17	295.12	291.4	297.92	285.12	317.81K	1.28%
4-Oct-17	291.4	291.69	296	287.56	394.45K	-0.10%
3-Oct-17	291.69	296.82	300.5	285.93	452.02K	-1.73%
2-Oct-17	296.82	304.26	304.63	292.1	468.96K	-2.45%
1-Oct-17	304.26	303.44	305.57	295	385.33K	0.27%
30-Sep-17	303.44	292.66	307.76	292.3	459.21K	3.68%
29-Sep-17	292.66	302.63	303.9	280.5	966.41K	-3.29%
28-Sep-17	302.63	309.75	310.69	297.75	491.02K	-2.30%
27-Sep-17	309.75	289.28	315.51	286.93	748.36K	7.08%
26-Sep-17	289.28	295.2	296.38	285.2	366.53K	-2.01%
25-Sep-17	295.2	282	297.93	281.8	652.31K	4.68%
24-Sep-17	282	285.9	294.54	275.41	687.97K	-1.36%
23-Sep-17	285.9	262.19	287.2	259.01	570.42K	9.04%
22-Sep-17	262.19	256.67	269.5	253.03	643.20K	2.15%
21-Sep-17	256.67	283.5	287.53	251.52	1.03M	-9.46%
20-Sep-17	283.5	282.63	294	277	512.32K	0.31%
19-Sep-17	282.63	296.81	299	275	941.08K	-4.78%
18-Sep-17	296.81	257	299.89	257	1.33M	15.49%
17-Sep-17	257	253	263.69	239	685.70K	1.58%
16-Sep-17	253	258.68	270	242.2	1.08M	-2.20%
15-Sep-17	258.68	222.5	269	198	3.34M	16.26%
14-Sep-17	222.5	275.48	281.01	221.71	2.25M	-19.23%
13-Sep-17	275.48	293.9	294.16	256	1.57M	-6.27%
12-Sep-17	293.9	297.19	316.73	283	915.33K	-1.11%
11-Sep-17	297.19	297.9	308	287.33	609.03K	-0.24%
10-Sep-17	297.9	303.08	305	276.11	891.44K	-1.71%
9-Sep-17	303.08	304	307.08	291.46	594.28K	-0.30%
8-Sep-17	304	334.1	334.58	291	1.08M	-9.01%
7-Sep-17	334.1	337.36	338.66	321.1	582.98K	-0.97%
6-Sep-17	337.36	316.18	339.5	314.81	805.38K	6.70%
5-Sep-17	316.18	295.81	323.17	267.64	1.34M	6.89%
4-Sep-17	295.81	350.63	351.59	275	1.99M	-15.63%
3-Sep-17	350.63	345	368.4	328.33	742.59K	1.63%
2-Sep-17	345	390.35	390.77	325.1	1.08M	-11.62%
1-Sep-17	390.35	387.3	395.03	383.6	461.31K	0.79%
31-Aug-17	387.3	382.78	390	380.1	345.07K	1.18%
30-Aug-17	382.78	372	390.1	365.1	660.23K	2.90%
29-Aug-17	372	347.09	375.98	346.42	631.68K	7.18%
28-Aug-17	347.09	348.01	352	332.74	389.24K	-0.26%
27-Aug-17	348.01	332.72	348.01	331.88	362.05K	4.60%
26-Aug-17	332.72	328.7	334.6	324.5	315.62K	1.22%
