"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","0.24337","0.25027","0.25347","0.23698","1.76B","-2.75%"
"Nov 20, 2019","0.25025","0.25387","0.25816","0.24828","1.37B","-1.42%"
"Nov 19, 2019","0.25386","0.25197","0.25628","0.24355","1.51B","0.74%"
"Nov 18, 2019","0.25199","0.26303","0.26310","0.24256","1.53B","-4.20%"
"Nov 17, 2019","0.26303","0.26219","0.26591","0.25932","1.25B","0.32%"
"Nov 16, 2019","0.26219","0.26064","0.26398","0.25937","1.25B","0.60%"
"Nov 15, 2019","0.26063","0.26823","0.27217","0.25399","1.72B","-2.83%"
"Nov 14, 2019","0.26823","0.27216","0.27269","0.26413","1.26B","-1.44%"
"Nov 13, 2019","0.27215","0.27215","0.27530","0.27030","1.29B","0.01%"
"Nov 12, 2019","0.27212","0.27429","0.27623","0.26823","1.56B","-0.79%"
"Nov 11, 2019","0.27429","0.27918","0.28105","0.27009","1.53B","-1.75%"
"Nov 10, 2019","0.27919","0.27987","0.28370","0.27684","1.61B","-0.24%"
"Nov 09, 2019","0.27987","0.27553","0.28140","0.27471","1.49B","1.58%"
"Nov 08, 2019","0.27553","0.29055","0.29084","0.27188","2.19B","-5.18%"
"Nov 07, 2019","0.29056","0.31019","0.31422","0.27712","2.64B","-6.32%"
"Nov 06, 2019","0.31018","0.30060","0.31280","0.29708","1.73B","3.19%"
"Nov 05, 2019","0.30058","0.29879","0.30416","0.29563","1.87B","0.60%"
"Nov 04, 2019","0.29879","0.29029","0.29982","0.28928","1.72B","2.93%"
"Nov 03, 2019","0.29029","0.29469","0.29586","0.28871","1.44B","-1.49%"
"Nov 02, 2019","0.29469","0.29136","0.29733","0.29131","1.62B","1.14%"
"Nov 01, 2019","0.29137","0.29448","0.29448","0.28541","1.68B","-1.05%"
"Oct 31, 2019","0.29448","0.29466","0.29838","0.28821","1.76B","-0.05%"
"Oct 30, 2019","0.29463","0.30186","0.30563","0.29068","1.99B","-2.40%"
"Oct 29, 2019","0.30187","0.29444","0.30907","0.29437","2.19B","2.51%"
"Oct 28, 2019","0.29447","0.29826","0.30443","0.29350","2.07B","-1.27%"
"Oct 27, 2019","0.29826","0.29374","0.30191","0.28954","2.27B","1.54%"
"Oct 26, 2019","0.29375","0.29833","0.31200","0.28431","3.45B","-1.54%"
"Oct 25, 2019","0.29835","0.27602","0.30672","0.27471","2.66B","8.09%"
"Oct 24, 2019","0.27602","0.27315","0.27995","0.26686","1.67B","1.02%"
"Oct 23, 2019","0.27324","0.29052","0.29119","0.25165","2.50B","-5.95%"
"Oct 22, 2019","0.29053","0.29203","0.30215","0.28902","1.59B","-0.53%"
"Oct 21, 2019","0.29207","0.29397","0.29417","0.28846","1.48B","-0.65%"
"Oct 20, 2019","0.29397","0.29133","0.29609","0.28208","1.76B","0.91%"
"Oct 19, 2019","0.29133","0.29393","0.29883","0.28736","1.69B","-0.88%"
"Oct 18, 2019","0.29393","0.30172","0.30187","0.28503","2.02B","-2.59%"
"Oct 17, 2019","0.30173","0.28343","0.30302","0.27999","2.10B","6.46%"
