"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"405","@RobinhoodApp LIQUID $SHIB.

BECAUSE IT TASTES GOOD. https://t.co/J4Tz5PXzOK",FALSE,1,"RobinhoodApp",2021-12-10 05:33:14,FALSE,"1469028636665651200","1469178372685287428","1265037073","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolomonsPools",0,FALSE,FALSE,NA,NA
"406","RT @WatcherGuru: Top 3 Mentioned crypto hashtags in the past 24 hours:

1. $SHIB
2. #SAITAMA
3. $ETH",FALSE,0,NA,2021-12-10 05:33:13,FALSE,NA,"1469178369212309504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SweGeneralen",121,TRUE,FALSE,NA,NA
"407","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:13,FALSE,NA,"1469178366435622914",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oneloveveryone",5178,TRUE,FALSE,NA,NA
"408","RT @Shibzone: 50.000.000 $SHIB To 5 Lucky People Who Retweet and Follow

Best Of Luck... <U+2764><U+FE0F> <U+0001F4AF> <U+0001F381> https://t.co/s7AIV9mgSI",FALSE,0,NA,2021-12-10 05:33:11,FALSE,NA,"1469178360735621127",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dinbanks",2440,TRUE,FALSE,NA,NA
"409","RT @ShibInform: Retweet if you’re still holding $SHIB <U+0001F48E><U+0001F64C><U+0001F3FD>",FALSE,0,NA,2021-12-10 05:33:08,FALSE,NA,"1469178346584039424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JamesMc36157926",1661,TRUE,FALSE,NA,NA
"410","RT @ShibInform: Hey @RobinhoodApp wen $SHIB listing?? <U+0001F440>",FALSE,0,NA,2021-12-10 05:33:08,FALSE,NA,"1469178344575221760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HunhLm43312718",177,TRUE,FALSE,NA,NA
"411","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:07,FALSE,NA,"1469178343534698496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zapher21",5178,TRUE,FALSE,NA,NA
"412","RT @WatcherGuru: JUST IN: $SHIB has officially been integrated as a payment method on @BitPay. https://t.co/FORbUFePKr",FALSE,0,NA,2021-12-10 05:33:06,FALSE,NA,"1469178337838845952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Vlad_Gesh",908,TRUE,FALSE,NA,NA
"413","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:06,FALSE,NA,"1469178337620905989",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","illegitt",5178,TRUE,FALSE,NA,NA
"414","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:05,FALSE,NA,"1469178335565684736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeLarsonMusic",5178,TRUE,FALSE,NA,NA
"415","RT @Shibzone: If I sent u 50,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:33:04,FALSE,NA,"1469178331484590080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","0LDSbFWkyeiungS",95,TRUE,FALSE,NA,NA
"416","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:33:04,FALSE,NA,"1469178330729439232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adi57369286",5178,TRUE,FALSE,NA,NA
"417","RT @CryptooBeast: If I sent u 100,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:33:04,FALSE,NA,"1469178329739632645",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrinaljain01",132,TRUE,FALSE,NA,NA
"418","RT @ShibBPP: $SHIB They say ""Love is more precious than gold""
Can't be bought and it can't be sold
I got love enough to spare
That makes me…",FALSE,0,NA,2021-12-10 05:33:02,FALSE,NA,"1469178321644621824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KarneyO17",55,TRUE,FALSE,NA,NA
"419","@Yourpop8 What’s good! $SHIB",FALSE,1,"Yourpop8",2021-12-10 05:33:01,FALSE,"1469135609088385025","1469178315743260672","1347777544649641985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","error1oading",0,FALSE,FALSE,NA,NA
